candidate,date,clock,five_ref,one_ref,difference,covered
C03,2021-11-30,09:55,11.05,,,False
C03,2022-01-28,10:30,11.13,,,False
C03,2022-02-07,10:30,11.14,,,False
C03,2022-03-09,10:30,10.6,,,False
C03,2022-03-11,09:30,10.23,,,False
C03,2022-03-16,09:50,9.71,,,False
C03,2022-04-21,09:55,10.0,,,False
C03,2022-09-20,10:10,8.81,,,False
C03,2022-09-21,09:40,8.61,,,False
C03,2022-09-23,10:30,8.65,,,False
C03,2022-12-28,10:30,9.28,,,False
C03,2023-02-08,10:30,9.33,,,False
C03,2023-02-09,10:30,9.3,,,False
C03,2023-02-28,09:40,9.71,,,False
C03,2023-04-25,09:30,18.06,,,False
C03,2023-04-28,09:40,16.65,,,False
C03,2023-07-21,09:30,23.04,,,False
C03,2023-08-14,09:30,21.09,,,False
C03,2023-08-16,09:30,21.0,,,False
C03,2023-08-21,09:45,20.46,,,False
C03,2023-09-06,09:30,20.08,,,False
C03,2023-09-08,09:30,19.01,,,False
C03,2023-09-18,09:40,18.46,,,False
C03,2023-10-13,09:30,18.61,,,False
C03,2023-10-16,09:40,17.69,,,False
C03,2023-10-17,09:55,17.32,,,False
C03,2023-10-18,09:30,16.6,,,False
C03,2023-10-20,09:45,16.4,,,False
C03,2023-10-23,09:30,14.55,,,False
C03,2023-10-26,09:30,13.4,,,False
C03,2023-11-28,09:30,14.77,,,False
C03,2023-11-30,09:50,14.82,,,False
C03,2023-12-15,09:45,14.78,,,False
C03,2023-12-18,09:40,14.89,,,False
C03,2023-12-25,09:30,14.2,,,False
C03,2023-12-26,09:30,14.12,,,False
C03,2023-12-27,09:40,14.07,,,False
C03,2024-01-08,09:40,13.27,,,False
C03,2024-01-09,09:40,13.48,,,False
C03,2024-01-10,09:30,13.08,,,False
C03,2024-01-31,09:30,13.3,,,False
C03,2024-03-26,09:40,24.12,,,False
C03,2024-03-28,09:45,22.66,,,False
C03,2024-04-11,09:40,21.43,,,False
C03,2024-05-27,09:40,24.92,,,False
C03,2024-05-29,09:40,24.48,,,False
C03,2024-05-30,09:30,24.0,,,False
C03,2024-06-03,09:40,23.39,,,False
C03,2024-07-18,09:30,24.82,,,False
C03,2024-07-22,09:30,24.49,,,False
C03,2024-07-24,09:30,24.4,,,False
C03,2024-07-25,09:30,23.5,,,False
C03,2024-07-31,09:40,23.31,,,False
C03,2024-08-06,09:40,20.76,,,False
C03,2024-08-08,09:30,20.0,,,False
C03,2024-08-28,09:30,19.6,,,False
C03,2024-09-09,09:30,18.13,,,False
C03,2024-10-16,09:30,23.61,,,False
C03,2024-10-18,09:40,24.95,,,False
C03,2024-11-04,09:40,24.25,,,False
C03,2024-11-18,09:40,23.42,,,False
C03,2024-11-19,09:40,23.47,,,False
C03,2024-11-29,10:30,21.83,,,False
C03,2025-01-03,10:20,20.94,,,False
C03,2025-01-06,09:40,20.82,,,False
C03,2025-02-06,09:40,20.23,,,False
C03,2025-03-03,09:40,21.0,,,False
C03,2025-03-24,10:30,20.67,,,False
C03,2025-03-31,09:30,19.8,,,False
C03,2025-06-25,09:40,20.96,,,False
C03,2025-09-29,09:40,66.86,,,False
C03,2025-10-09,09:40,68.62,,,False
C03,2025-10-15,09:40,58.72,,,False
C03,2025-11-12,09:30,66.45,,,False
C03,2025-11-17,09:40,65.56,,,False
C03,2025-11-25,09:40,56.76,,,False
C03,2025-11-26,09:30,55.31,,,False
C03,2025-11-28,09:40,60.15,,,False
C03,2025-12-16,09:40,59.9,,,False
C03,2026-01-05,09:40,63.67,,,False
C03,2026-01-14,09:55,60.42,,,False
C03,2026-01-29,09:40,59.61,,,False
C03,2026-02-03,10:10,54.7,,,False
C03,2026-02-10,09:40,56.82,,,False
C03,2026-03-04,09:30,53.98,,,False
C03,2026-03-05,09:40,54.81,,,False
C03,2026-03-18,09:50,51.12,,,False
C03,2026-03-23,09:30,48.95,,,False
