id,window,losing_direction,n,losing_mean,opposite_mean,opposite_cash,large
ALL__ret5__high,original_PT_window,rt,209,-0.6352857190148337,0.20431927749159431,145.0005718226546,True
ALL__ret10__low,primary,rt,122,-0.46463601414631944,0.0814612368545401,4968.145107628505,False
ALL__ret10__low,2023,rt,72,-0.3650214790056086,-0.10212769643681578,-1742.593666349832,False
ALL__ret10__low,2023,pt,72,-0.10212769643681578,-0.3650214790056086,-4200.999476149862,False
ALL__ret10__low,2021_2022,rt,83,-0.3550937418203862,-0.23399906389037275,-2231.9665426999168,False
ALL__ret10__low,2021_2022,pt,83,-0.23399906389037275,-0.3550937418203862,-3151.5067772999,False
ALL__ret10__low,2024,rt,39,-0.3441586015079348,-0.060746652301717795,-74.10269729991148,False
ALL__ret10__low,2024,pt,39,-0.060746652301717795,-0.3441586015079348,-3153.3330976999064,False
ALL__ret10__low,2025,rt,43,-0.6015533846014997,0.21519746543607032,2893.11089742118,True
ALL__ret10__low,2026,rt,40,-0.4349153182294259,0.07634748305674646,2149.136907507236,False
ALL__ret10__low,original_PT_window,rt,194,-0.4276656712074989,0.01332513790104715,3225.551441278674,False
ALL__ret10__high,primary,rt,137,-0.9159150381606685,0.5360503388830169,21705.539785189612,True
ALL__ret10__high,2023,rt,80,-1.159425589329625,0.6325409385986134,7922.642419250173,True
ALL__ret10__high,2021_2022,rt,103,-0.27080588128561867,-0.31890505860677903,-3822.8550323998643,False
ALL__ret10__high,2021_2022,pt,103,-0.31890505860677903,-0.27080588128561867,-2863.334787599873,False
ALL__ret10__high,2024,rt,45,-0.9580962857034846,0.5620083960151547,4777.451743950117,True
ALL__ret10__high,2025,rt,79,-0.9928017813332675,0.6186346514846064,18462.607296739407,True
ALL__ret10__high,2026,rt,13,-0.3026682035405122,-0.055662989307121775,-1534.5192554999073,False
ALL__ret10__high,2026,pt,13,-0.055662989307121775,-0.3026682035405122,-1534.519255499907,False
ALL__ret10__high,original_PT_window,rt,217,-1.005688513245998,0.5716229102067389,29628.182204439792,True
ALL__ret20__low,primary,rt,129,-0.6548291097946123,0.2692330360419539,13035.964558194562,True
ALL__ret20__low,2023,rt,74,-0.4375922447404503,-0.02795987702033518,-1039.9993323998365,False
ALL__ret20__low,2023,pt,74,-0.02795987702033518,-0.4375922447404503,-5078.470117599869,False
ALL__ret20__low,2021_2022,rt,86,-0.27134044748551545,-0.3246600895875884,-2975.548226299892,False
ALL__ret20__low,2021_2022,pt,86,-0.3246600895875884,-0.27134044748551545,-2455.808093699884,False
ALL__ret20__low,2024,rt,48,-0.5401908611855234,0.13309501126527842,526.534952450095,True
ALL__ret20__low,2025,rt,35,-0.9099493532886975,0.5186578615607833,7993.088803588117,True
ALL__ret20__low,2026,rt,46,-0.5803384013368579,0.22151034682720164,4516.340802156355,True
ALL__ret20__low,original_PT_window,rt,203,-0.5756393166221592,0.16089670320151353,11995.96522579473,True
ALL__ret20__high,primary,rt,118,-1.2421804967058672,0.862820739744298,33324.87196586046,True
ALL__ret20__high,2023,rt,74,-1.440391443257916,0.9083771306915438,11134.108437500166,True
ALL__ret20__high,2021_2022,rt,118,-0.2631776619683722,-0.3277865489079728,-4520.760853549846,False
ALL__ret20__high,2021_2022,pt,118,-0.3277865489079728,-0.2631776619683722,-3101.470491449862,False
ALL__ret20__high,2024,rt,45,-1.039726604848177,0.6479325890620834,5040.289975550128,True
ALL__ret20__high,2025,rt,67,-1.3324016038696977,0.9597424857571207,23239.823609058294,True
ALL__ret20__high,2026,rt,6,-1.753115655642432,1.392189039384382,5044.758381252035,True
ALL__ret20__high,original_PT_window,rt,192,-1.3185742990228027,0.8803789320885489,44458.98040336062,True
ALL__bias5__low,primary,rt,128,-0.900111492760169,0.5205418718478556,19526.18487032865,True
ALL__bias5__low,2023,rt,75,-0.757971226905559,0.26836492283212404,3482.0278107501904,True
ALL__bias5__low,2021_2022,rt,82,-0.5693856591793566,-0.021477354717438904,-496.9548892499089,True
ALL__bias5__low,2021_2022,pt,82,-0.021477354717438904,-0.5693856591793566,-4794.805985749904,False
ALL__bias5__low,2024,rt,42,-1.2842142175931865,0.8803062052215925,7670.104389800096,True
ALL__bias5__low,2025,rt,43,-1.0403049649114988,0.6634161713189916,11715.37745106819,True
ALL__bias5__low,2026,rt,43,-0.38474791728356633,0.02626985140702295,140.7030294603644,False
ALL__bias5__low,original_PT_window,rt,203,-0.8475966162128992,0.42737304831987594,23008.21268107884,True
ALL__bias5__high,primary,rt,129,-0.2573323199210837,-0.12192322635755842,-18123.281633606475,False
ALL__bias5__high,primary,pt,129,-0.12192322635755842,-0.2573323199210837,-747.622693892378,False
ALL__bias5__high,2023,rt,75,-0.7242202063793262,0.20328498891319302,1439.3857133001457,True
ALL__bias5__high,2021_2022,rt,86,-0.15139437602157202,-0.43687215118874767,-4545.97740874989,False
ALL__bias5__high,2021_2022,pt,86,-0.43687215118874767,-0.15139437602157202,-1047.7265162498772,False
ALL__bias5__high,2024,rt,42,-0.52563062208719,0.12723316573148125,-89.80509364991042,True
ALL__bias5__high,2025,rt,62,-0.49540024006475314,0.11989062275031494,3695.027538395273,False
ALL__bias5__high,2026,pt,25,-1.1402043108546709,0.7838172696742748,15782.123339352176,True
ALL__bias5__high,original_PT_window,rt,203,-0.44173742360659135,0.010012385025601018,-15016.95732512133,False
ALL__bias20__low,primary,rt,119,-0.5543796101471546,0.17154592824746637,4184.902176648586,True
ALL__bias20__low,2023,rt,71,-0.8270634383658105,0.35529954435362576,4715.463068650179,True
ALL__bias20__low,2021_2022,rt,87,-0.36150353834784826,-0.22837328797389203,-2322.044612549903,False
ALL__bias20__low,2021_2022,pt,87,-0.22837328797389203,-0.36150353834784826,-3301.554862449888,False
ALL__bias20__low,2024,rt,43,-0.47526000915657346,0.06730965820696481,20.625041400087184,False
ALL__bias20__low,2025,rt,28,-0.8350155910783987,0.44923705507022743,2391.8819189311407,True
ALL__bias20__low,2026,rt,48,-0.46155326382465733,0.10293776284547161,1772.3952163173585,False
ALL__bias20__low,original_PT_window,rt,190,-0.6562772512183366,0.2402117532134522,8900.365245298763,True
ALL__bias20__high,primary,rt,133,-0.9145815903507402,0.5345368286866529,18605.63346531852,True
ALL__bias20__high,2023,rt,72,-1.3407936109728817,0.8098655680564166,9186.269982100162,True
ALL__bias20__high,2021_2022,rt,108,-0.2714125483474322,-0.3167846760748851,-4022.6181074998576,False
ALL__bias20__high,2021_2022,pt,108,-0.3167846760748851,-0.2714125483474322,-3023.117852499858,False
ALL__bias20__high,2024,rt,48,-0.8731761119192267,0.4778975316343277,3704.667914300122,True
ALL__bias20__high,2025,rt,74,-1.154044271346765,0.7804355419729815,21252.650679972336,True
ALL__bias20__high,2026,pt,11,-0.8725375826475925,0.5156707213759132,3685.80685595411,True
ALL__bias20__high,original_PT_window,rt,205,-1.064275568325346,0.6312376542213991,27791.903447418685,True
ALL__ma20slope5__low,primary,rt,129,-0.6595798429787874,0.27592691648659873,11998.46453688254,True
ALL__ma20slope5__low,2023,rt,77,-0.5572277573517963,0.0924332300871556,883.3944179001486,True
ALL__ma20slope5__low,2021_2022,rt,84,-0.19468876329437398,-0.4021121251263907,-3686.8519851998835,False
ALL__ma20slope5__low,2021_2022,pt,84,-0.4021121251263907,-0.19468876329437398,-1607.8914547998909,False
ALL__ma20slope5__low,2024,rt,45,-0.5384473909091726,0.13159915832299254,112.21656475007683,True
ALL__ma20slope5__low,2025,rt,33,-1.0072320434911357,0.6167359914207525,8864.431889857102,True
ALL__ma20slope5__low,2026,rt,51,-0.541509994473399,0.18275141932062208,3021.816082275365,True
ALL__ma20slope5__low,original_PT_window,rt,206,-0.6213220245648152,0.2073394705994282,12881.85895478269,True
ALL__ma20slope5__high,primary,rt,123,-1.348671778011389,0.9691180141143726,40012.300478706435,True
ALL__ma20slope5__high,2023,rt,73,-1.3223403963348859,0.7929314435650535,10051.512837050164,True
ALL__ma20slope5__high,2021_2022,rt,115,-0.213236673282849,-0.3788548016446417,-5345.532678249856,False
ALL__ma20slope5__high,2021_2022,pt,115,-0.3788548016446417,-0.213236673282849,-2047.1818367498588,False
ALL__ma20slope5__high,2024,rt,46,-0.8892664572883845,0.4971456418042865,3700.7921665001186,True
ALL__ma20slope5__high,2025,rt,73,-1.7504946090163709,1.3775984772992391,39126.7803428243,True
