id,window,direction,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
ALL__clv3__low,2026,rt,36,-0.7430804507033913,-0.740264702437609,30.555555555555557,-15093.784658285787,0.4460262352885125,0.4789837684353769,-6.235135426079971,-15504.311766086812,11
ALL__clv3__low,2026,pt,36,0.3839611863852204,0.38115047660527984,58.333333333333336,7260.629762286254,1.5305065686145376,1.4352970053808183,-4.23382715274595,-6657.151604966965,11
ALL__clv3__low,original_PT_window,rt,171,-0.7897991662932969,-0.505664900505041,40.35087719298245,-43007.66181141344,0.46725683919968375,0.4645637109640812,-12.229427049039757,-44225.48627127044,59
ALL__clv3__low,original_PT_window,pt,171,0.36556049766150694,0.1118711147169778,50.877192982456144,22694.935449914585,1.413517261122693,1.4976350953976485,-8.464638457150821,-6657.151604966963,59
ALL__clv3__high,primary,rt,139,-0.061707294212860385,0.515837689375,56.11510791366906,4030.7870095016706,0.9532204974646049,1.05690657279838,-10.155278745951652,-20442.87531922679,44
ALL__clv3__high,primary,pt,139,-0.3180207780993429,-0.8879899123691383,36.69064748201439,-23502.333010000482,0.7864045739530465,0.7279819304479518,-7.467996327810795,-28921.781869150498,44
ALL__clv3__high,2023,rt,38,-0.05285375372764468,0.2649830545510018,52.63157894736842,1268.2894799000667,0.9627348969055638,1.137274297438846,-7.338887368666635,-5573.253232999968,12
ALL__clv3__high,2023,pt,38,-0.4593770230516479,-0.740755274261296,39.473684210526315,-4689.251779899907,0.7198909147096867,0.6223184973003545,-9.726414434224296,-8066.847189899935,12
ALL__clv3__high,2021_2022,rt,97,-0.16005134234311505,-0.0932616167209436,46.391752577319586,-1538.5889917498707,0.718804906284345,0.7606270019193184,-5.107730410911589,-2196.4574417999215,27
ALL__clv3__high,2021_2022,pt,97,-0.42487912563489694,-0.5273551042345553,34.02061855670103,-4836.939833249879,0.43343222215371563,0.438394495582949,-6.336124398976109,-6021.290475149881,27
ALL__clv3__high,2024,rt,52,0.01925795761591497,0.8145260390240151,65.38461538461539,2924.681926450142,1.0146482608908016,1.2072325690278574,-9.235975889780406,-6237.637656649975,18
ALL__clv3__high,2024,pt,52,-0.41164814173209524,-1.212262779197149,28.846153846153843,-7652.674448949891,0.7428513790094486,0.62491625500382,-6.319063207581208,-13072.123308099912,18
ALL__clv3__high,2025,rt,63,-0.39172662187637736,-0.012280754549983,47.61904761904761,-10001.388776116604,0.7131972658569107,0.7367660362688967,-10.155278745951652,-20442.875319226787,15
