window,kind,rise,pullback,tp,stop,breakout_veto,signals,executed,execution_rate,net_win_rate,avg_net_per_trade,avg_net_per_signal,total_pnl_1000,pf,worst_pnl_1000,max_losing_streak,tp_count,stop_count,ambiguous_bar_count
modern_2024plus,limit,0.003,,0.015,0.04,,26,15,0.5769230769230769,0.7333333333333333,0.0034195364894730796,0.001972809513157546,609.4359408393735,1.2416344082392128,-2382.714681416468,2,6,1,0
modern_2024plus,limit,0.003,,0.018,,,26,15,0.5769230769230769,0.6666666666666666,0.0019646578276344574,0.0011334564390198794,-108.80959053565888,0.9672942912979395,-3053.500175848233,3,4,0,0
modern_2024plus,limit,0.004,,,,,26,15,0.5769230769230769,0.6666666666666666,0.0023047266751218525,0.0013296500048779918,137.34290586610985,1.0429465315923332,-2996.755227689646,3,0,0,0
modern_2024plus,limit,0.004,,0.012,,,26,15,0.5769230769230769,0.7333333333333333,0.0031287847555273723,0.0018050681281888688,499.6861054400706,1.1621501329946093,-2996.755227689646,2,10,0,0
modern_2024plus,limit,0.004,,0.015,,,26,15,0.5769230769230769,0.7333333333333333,0.0032344243756170176,0.0018660140628559718,264.26964698165136,1.085756553840484,-2996.755227689646,2,6,0,0
modern_2024plus,limit,0.004,,0.018,,,26,15,0.5769230769230769,0.7333333333333333,0.004196176130890997,0.0024208708447448057,653.8204863784621,1.2121673539981648,-2996.755227689646,2,5,0,0
modern_2024plus,limit,0.005,,,,,26,15,0.5769230769230769,0.7333333333333333,0.0032964086826423587,0.0019017742399859761,615.0619838075669,1.2001989334832495,-2940.010279531058,2,0,0,0
modern_2024plus,limit,0.005,,0.012,,,26,15,0.5769230769230769,0.8,0.0038434451897097917,0.0022173722248325723,764.8824669101384,1.2572317629295604,-2940.010279531058,1,11,0,0
modern_2024plus,limit,0.005,,0.015,,,26,15,0.5769230769230769,0.8,0.004024150947907365,0.002321625546869634,750.1622329179728,1.252281313802603,-2940.010279531058,1,7,0,0
modern_2024plus,limit,0.005,,0.015,0.04,,26,15,0.5769230769230769,0.8,0.004669337176921038,0.0026938483713005983,1302.706655197243,1.5380927583381145,-2387.465857251788,1,7,1,0
modern_2024plus,limit,0.005,,0.018,,,26,15,0.5769230769230769,0.8,0.004860096354287638,0.0028039017428582525,1000.5354526329935,1.3364824132967708,-2940.010279531058,1,5,0,0
modern_2024plus,open,0.0,,,,,26,17,0.6538461538461539,0.5882352941176471,0.00040569925921287044,0.00026526490025456916,-1152.0819123999624,0.6927064789860369,-3223.7350203239953,4,0,0,0
modern_2024plus,open,0.0,,0.012,,,26,17,0.6538461538461539,0.6470588235294118,0.0008443539015660347,0.0005520775510239458,-1115.003809253291,0.686992330701681,-3223.7350203239953,2,8,0,0
modern_2024plus,open,0.0,,0.015,,,26,17,0.6538461538461539,0.5882352941176471,0.0006076457762305185,0.00039730685368918515,-1045.4261234561072,0.721154658380508,-3223.7350203239953,4,6,0,0
modern_2024plus,open,0.0,,0.018,,,26,17,0.6538461538461539,0.5882352941176471,0.001667033217001084,0.0010899832572699396,-581.8475976899433,0.8448044404974686,-3223.7350203239953,4,6,0,0
modern_2024plus,pullback,0.003,0.002,,,,26,15,0.5769230769230769,0.7333333333333333,0.0018849697981780647,0.0010874825758719604,443.98948199805113,1.1537947405346463,-2534.525123660989,2,0,0,0
modern_2024plus,pullback,0.003,0.002,,,0.02,26,14,0.5384615384615384,0.7142857142857143,0.0008149282099486349,0.00043880749766464955,-650.5848449689652,0.7746421222018628,-2534.525123660989,2,0,0,0
modern_2024plus,pullback,0.003,0.002,0.015,,,26,15,0.5769230769230769,0.8,0.003239973446848546,0.0018692154501049306,726.2143211967019,1.262178274674079,-2534.525123660989,1,6,0,0
modern_2024plus,pullback,0.003,0.002,0.015,,0.02,26,14,0.5384615384615384,0.7857142857142857,0.002527176400873432,0.001360787292778002,-131.7073514767576,0.9524509429734644,-2534.525123660989,1,5,0,0
