entry,exit,slip,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
WF_ENTRY,OPEN,0.002,172,-0.3267470808703646,-0.5958092449698746,28.488372093023255,-11805.631002212012,0.5921443775311389,0.6251940692836709,-4.16235360222374,-3.2561841146048045,-14879.108437484021,20,32,5,38,4572.451002211999,0.22352456005684754,-0.38161678691223966,-0.5275765108503241,-0.6283959394882901,-19498.273467884017,58,27,-0.22580872944829966,-0.4297212174084411
WF_ENTRY,0935_S0,0.001,172,0.008938602550578403,-0.34154120205517646,39.53488372093023,-532.6088414755899,1.0122632650069052,0.9816339426298931,-5.3181283551294865,-3.705805697580134,-6982.508113099925,7,32,5,38,4578.858841476,0.36015838897840763,-0.04705679710177967,-0.20641947579489026,-0.3384983896263037,-10784.565166859615,55,42,0.1338828368553453,-0.08426579223212038
WF_ENTRY,0935_S0,0.002,172,-0.19085610925583188,-0.5406594840871899,33.13953488372093,-7657.678162951998,0.7769214757674391,0.7710242652165988,-5.507304394652499,-3.8982028615866975,-10504.402873599998,13,32,5,38,4576.178162951999,0.36015838897840763,-0.24673950891751942,-0.4057832394576762,-0.5375975377063303,-17489.71154972001,58,38,-0.06616077767129078,-0.2838728399292246
WF_ENTRY,0935_S1,0.001,172,-0.09927849914393001,-0.5095907165867308,35.46511627906977,-5493.352352255598,0.8722155360363671,0.8237596235519968,-3.970485157143914,-3.062501731319126,-8792.560240779661,8,32,5,38,4574.572352256,0.2515949867504965,-0.15590674734420926,-0.31787661047426413,-0.45339555932664594,-15745.308677639625,72,37,0.0026978984558584324,-0.21949964848344336
WF_ENTRY,0935_S1,0.002,172,-0.29885701592068414,-0.7083735454058979,29.069767441860467,-12613.455964511992,0.6721693646843674,0.6502342654513663,-4.16235360222374,-3.2561841146048045,-15460.180675159994,13,32,5,38,4571.895964511999,0.2515949867504965,-0.3553719998318739,-0.5170177062023146,-0.6522651670048157,-22445.48935128,74,34,-0.19708363261389827,-0.41883652372808544
WF_ENTRY,0935_S2,0.001,172,-0.010488348692005668,-0.34154120205517646,39.53488372093023,-412.7637425395998,0.9859841302821755,0.9857075194700343,-3.970485157143914,-3.075081971840352,-6703.0706302999315,7,32,5,38,4578.89374254,0.3406681380275716,-0.06659735624636721,-0.22642807228425832,-0.359124535390035,-10664.720067923623,55,42,0.09414643664586425,-0.1252286245468323
WF_ENTRY,0935_S2,0.002,172,-0.210244254194648,-0.5406594840871899,33.13953488372093,-7537.953029079987,0.7597054386707643,0.7737944151369165,-4.16235360222374,-3.2687393228018164,-10384.67773972798,13,32,5,38,4576.21302908,0.3406681380275716,-0.26624103482089,-0.425751867777894,-0.5581824817154438,-17369.986415847998,58,38,-0.10581779418947783,-0.32475383843871375
WF_ENTRY,1000_S0,0.001,172,0.06922062190604843,-0.30263484297940924,41.86046511627907,2462.870512692396,1.0769786193262825,1.0692459996021173,-6.605170944012655,-5.084984698573802,-6811.540902999928,7,32,5,38,4580.3794873080005,0.4206114888204903,0.013345733803772939,-0.17565694701819773,-0.34706960863463987,-10654.392419909625,54,47,0.24078170342459485,-0.006358720049209726
WF_ENTRY,1000_S0,0.002,172,-0.13069451855815548,-0.5018310694360746,37.7906976744186,-4665.197286616012,0.8717300475145671,0.8825921504844818,-6.791776255443618,-5.274626760462104,-9281.111872400003,14,32,5,38,4577.6972866159995,0.4206114888204903,-0.18645765106019388,-0.3750821666352463,-0.5461516283248627,-17359.669105820012,61,45,0.040524541010621314,-0.20612139683524464
WF_ENTRY,1000_S1,0.001,172,-0.01414928847151144,-1.2361260359265582,33.72093023255814,-2737.574588555598,0.9840950036767393,0.923441811629056,-3.970485157143914,-3.062501731319126,-8864.013869099912,10,32,5,38,4576.034588555999,0.33697560611464594,-0.07051171990932813,-0.2615229624968819,-0.4355858097762464,-15854.837521157628,89,41,0.09037588789092406,-0.16140669038330246
WF_ENTRY,1000_S1,0.002,172,-0.21389786737430896,-1.4334568477045617,30.23255813953488,-9860.436737112,0.7912039939809071,0.7582905460548842,-4.16235360222374,-3.2561841146048045,-13143.358909452001,14,32,5,38,4573.356737112,0.33697560611464594,-0.27014756916766985,-0.46077663367942834,-0.6344909863271985,-22554.908556316008,91,40,-0.10958079698529613,-0.3608596156335053
WF_ENTRY,1000_S2,0.001,172,0.03252419735362271,-0.438985161478181,40.116279069767444,1374.923690550396,1.0351476353462084,1.0379460308748985,-3.970485157143914,-3.075081971840352,-7689.772991799933,7,32,5,38,4579.41630945,0.383799299460746,-0.023565289722643733,-0.21345206691650445,-0.38603124457919064,-11742.339242051628,63,47,0.13844678347130165,-0.11185212518624654
WF_ENTRY,1000_S2,0.002,172,-0.16731763349290338,-0.6379088958723057,36.627906976744185,-5752.055072900011,0.840243936372263,0.8579571229234291,-4.16235360222374,-3.2687393228018164,-10507.581916600004,14,32,5,38,4576.7350729,0.383799299460746,-0.22329493625771815,-0.4128017820171424,-0.5850354293666938,-18446.526892104008,68,45,-0.06160594532301036,-0.3114040586730007
